timestamp,value,is_anomaly
0,102.82,0
1,104.52,0
2,99.59,0
3,103.73,0
4,100.6,0
5,98.19,0
6,183.98,1
7,106.24,0
8,93.59,0
9,95.4,0
10,100.21,0
11,94.95,0
12,106.01,0
13,100.48,0
14,92.49,0
15,98.48,0
16,94.29,0
17,94.96,0
18,94.9,0
19,98.25,0
20,105.45,0
21,103.12,0
22,101.7,0
23,104.28,0
24,102.65,0
25,21.15,1
26,93.53,0
27,151.37,1
28,100.45,0
29,105.4,0
30,18.87,1
31,95.86,0
32,48.81,1
33,101.36,0
34,103.01,0
35,100.54,0
36,92.63,0
37,114.07,0
38,99.73,0
39,98.98,0
40,100.16,0
41,95.28,0
42,104.79,0
43,100.74,0
44,108.66,0
45,105.37,0
46,104.22,0
47,108.12,0
48,114.37,0
49,101.31,0
50,97.11,0
51,106.8,0
52,91.41,0
53,107.06,0
54,96.61,0
55,101.5,0
56,100.74,0
57,107.12,0
58,100.27,0
59,107.51,0
60,105.04,0
61,98.08,0
62,104.52,0
63,118.31,0
64,99.22,0
65,101.37,0
66,103.9,0
67,102.4,0
68,95.63,0
69,95.54,0
70,100.4,0
71,102.95,0
72,89.94,0
73,113.58,0
74,89.31,0
75,100.08,0
76,103.09,0
77,102.12,0
78,101.42,0
79,95.46,0
80,99.17,0
81,102.19,0
82,101.66,0
83,101.42,0
84,98.36,0
85,105.69,0
86,113.39,0
87,100.78,0
88,103.3,0
89,152.94,1
90,101.63,0
91,103.99,0
92,97.42,0
93,97.5,0
94,101.07,0
95,19.92,1
96,105.09,0
97,98.49,0
98,105.9,0
99,98.85,0
100,104.43,0
101,100.12,0
102,111.62,0
103,101.7,0
104,20.12,1
105,104.2,0
106,98.75,0
107,99.87,0
108,99.76,0
109,91.76,0
110,107.11,0
111,100.25,0
112,106.37,0
113,106.52,0
114,1.56,1
115,106.77,0
116,91.48,0
117,93.68,0
118,109.37,0
119,98.28,0
120,99.09,0
121,94.76,0
122,96.19,0
123,106.72,0
124,94.89,0
125,110.16,0
126,99.0,0
127,103.83,0
128,103.75,0
129,103.3,0
130,96.72,0
131,100.89,0
132,111.04,0
133,103.65,0
